EURING,Scientific_Name,English_ioc,Clements_Common_Name,English_birdnet,French_ioc,French_birdnet,Spanish_ioc,Spanish_birdnet,Dutch_ioc,Dutch_birdnet,Norwegian_ioc,Norwegian_birdnet
20,Gavia stellata,Red-throated Loon,Red-throated Loon,Red-throated Diver,Plongeon catmarin,NA,Colimbo chico,NA,Roodkeelduiker,NA,smålom,NA
30,Gavia arctica,Black-throated Loon,Arctic Loon,Black-throated Diver,Plongeon arctique,NA,Colimbo ártico,NA,Parelduiker,NA,storlom,NA
40,Gavia immer,Common Loon,Common Loon,Great Northern Diver,Plongeon huard,NA,Colimbo grande,NA,IJsduiker,NA,islom,NA
50,Gavia adamsii,Yellow-billed Loon,Yellow-billed Loon,White-billed Diver,Plongeon à bec blanc,NA,Colimbo de Adams,NA,Geelsnavelduiker ,NA,gulnebblom,NA
70,Tachybaptus ruficollis,Little Grebe,Little Grebe,Little Grebe,Grèbe castagneux,NA,Zampullín común,NA,Dodaars,NA,dvergdykker,NA
90,Podiceps cristatus,Great Crested Grebe,Great Crested Grebe,Great Crested Grebe,Grèbe huppé,NA,Somormujo lavanco,NA,Fuut,NA,toppdykker,NA
100,Podiceps grisegena,Red-necked Grebe,Red-necked Grebe,Red-necked Grebe,Grèbe jougris,NA,Somormujo cuellirrojo,NA,Roodhalsfuut,NA,gråstrupedykker,NA
110,Podiceps auritus,Horned Grebe,Horned Grebe,Slavonian Grebe,Grèbe esclavon,NA,Zampullín cuellirrojo,NA,Kuifduiker,NA,horndykker,NA
120,Podiceps nigricollis,Black-necked Grebe,Eared Grebe,Black-necked Grebe,Grèbe à cou noir,NA,Zampullín cuellinegro,NA,Geoorde Fuut,NA,svarthalsdykker,NA
220,Fulmarus glacialis,Northern Fulmar,Northern Fulmar,Northern Fulmar,Fulmar boréal,NA,Fulmar boreal,NA,Noordse Stormvogel,NA,havhest,NA
430,Ardenna grisea,Sooty Shearwater,Sooty Shearwater,Sooty Shearwater,Puffin fuligineux,NA,Pardela sombría,NA,Grauwe Pijlstormvogel,NA,grålire,NA
461,Puffinus puffinus,Manx Shearwater,Manx Shearwater,Manx Shearwater,Puffin des Anglais,NA,Pardela pichoneta,NA,Noordse Pijlstormvogel,NA,havlire,NA
520,Hydrobates pelagicus,European Storm Petrel,European Storm-Petrel,European Storm-Petrel,Océanite tempête,NA,Paíño europeo,NA,Stormvogeltje ,NA,havsvale,NA
550,Hydrobates leucorhous,Leach's Storm Petrel,Leach's Storm-Petrel,Leach's Storm-Petrel,Océanite cul-blanc,NA,Paíño boreal,NA,Vaal Stormvogeltje,NA,stormsvale,NA
710,Morus bassanus,Northern Gannet,Northern Gannet,Northern Gannet,Fou de Bassan,NA,Alcatraz atlántico,NA,Jan-van-gent,NA,havsule,NA
720,Phalacrocorax carbo,Great Cormorant,Great Cormorant,Great Cormorant,Grand Cormoran,NA,Cormorán grande,NA,Aalscholver,NA,storskarv,NA
800,Gulosus aristotelis,European Shag,European Shag,NA,Cormoran huppé,NA,Cormorán moñudo,NA,Kuifaalscholver,NA,toppskarv,NA
950,Botaurus stellaris,Eurasian Bittern,Eurasian Bittern,Great Bittern,Butor étoilé,NA,Avetoro común,NA,Roerdomp,NA,rørdrum,NA
980,Botaurus minutus,Little Bittern,Little Bittern,NA,Blongios nain,NA,Avetorillo común,NA,Woudaap,NA,dvergrørdrum,NA
1040,Nycticorax nycticorax,Black-crowned Night Heron,Black-crowned Night Heron,Black-crowned Night Heron,Bihoreau gris,NA,Martinete común,NA,Kwak,NA,natthegre,NA
1110,Ardea ibis,Western Cattle Egret,Western Cattle-Egret,NA,Héron garde-bœufs,NA,Garcilla bueyera occidental,NA,Koereiger,NA,kuhegre,NA
1190,Egretta garzetta,Little Egret,Little Egret,Little Egret,Aigrette garzette,NA,Garceta común,NA,Kleine Zilverreiger,NA,silkehegre,NA
1210,Ardea alba,Great Egret,Great Egret,Great White Egret,Grande Aigrette,NA,Garceta grande,NA,Grote Zilverreiger,NA,egretthegre,NA
1220,Ardea cinerea,Grey Heron,Gray Heron,Grey Heron,Héron cendré,NA,Garza real,NA,Blauwe Reiger,NA,gråhegre,NA
1240,Ardea purpurea,Purple Heron,Purple Heron,Purple Heron,Héron pourpré,NA,Garza imperial,NA,Purperreiger,NA,purpurhegre,NA
1310,Ciconia nigra,Black Stork,Black Stork,Black Stork,Cigogne noire,NA,Cigüeña negra,NA,Zwarte Ooievaar,NA,svartstork,NA
1340,Ciconia ciconia,White Stork,White Stork,White Stork,Cigogne blanche,NA,Cigüeña blanca,NA,Ooievaar,NA,stork,NA
1360,Plegadis falcinellus,Glossy Ibis,Glossy Ibis,Glossy Ibis,Ibis falcinelle,NA,Morito común,NA,Zwarte Ibis,NA,bronseibis,NA
1440,Platalea leucorodia,Eurasian Spoonbill,Eurasian Spoonbill,Eurasian Spoonbill,Spatule blanche,NA,Espátula común,NA,Lepelaar,NA,skjestork,NA
1520,Cygnus olor,Mute Swan,Mute Swan,Mute Swan,Cygne tuberculé,NA,Cisne vulgar,NA,Knobbelzwaan,NA,knoppsvane,NA
1530,Cygnus columbianus,Tundra Swan,Tundra Swan,Bewick's Swan,Cygne siffleur,NA,Cisne chico,NA,Kleine Zwaan,NA,dvergsvane,NA
1540,Cygnus cygnus,Whooper Swan,Whooper Swan,Whooper Swan,Cygne chanteur,NA,Cisne cantor,NA,Wilde Zwaan,NA,sangsvane,NA
1574,Anser serrirostris,Tundra Bean Goose,Tundra Bean-Goose,Tundra Bean Goose,Oie de la toundra,NA,Ánsar campestre de la tundra,NA,Toendrarietgans,NA,tundrasædgås,NA
1575,Anser fabalis,Taiga Bean Goose,Taiga Bean-Goose,Taiga Bean Goose,Oie des moissons,NA,Ánsar campestre,Ánsar Campestre de la Taiga,Taigarietgans,NA,taigasædgås,sædgås
1580,Anser brachyrhynchus,Pink-footed Goose,Pink-footed Goose,Pink-footed Goose,Oie à bec court,NA,Ánsar piquicorto,NA,Kleine Rietgans,NA,kortnebbgås,NA
1590,Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,Greater White-fronted Goose,Oie rieuse,NA,Ánsar careto,NA,Kolgans,NA,tundragås,NA
1600,Anser erythropus,Lesser White-fronted Goose,Lesser White-fronted Goose,Lesser White-fronted Goose,Oie naine,NA,Ánsar chico,NA,Dwerggans,NA,dverggås,NA
1610,Anser anser,Greylag Goose,Graylag Goose,Greylag Goose,Oie cendrée,NA,Ánsar común,NA,Grauwe Gans,NA,grågås,NA
1620,Anser indicus,Bar-headed Goose,Bar-headed Goose,Bar-headed Goose,Oie à tête barrée,NA,Ánsar indio,NA,Indische gans,NA,stripegås,NA
1660,Branta canadensis,Canada Goose,Canada Goose,Canada Goose,Bernache du Canada,NA,Barnacla canadiense grande,NA,Canadese gans,Grote Canadese Gans,kanadagås,NA
1670,Branta leucopsis,Barnacle Goose,Barnacle Goose,Barnacle Goose,Bernache nonnette,NA,Barnacla cariblanca,NA,Brandgans,NA,hvitkinngås,NA
1680,Branta bernicla,Brant Goose,Brant,Brent Goose,Bernache cravant,NA,Barnacla carinegra,NA,Rotgans,NA,ringgås,NA
1681,Branta bernicla bernicla,NA,NA,NA,NA,NA,NA,NA,Zwartbuikrotgans,NA,NA,NA
1682,Branta bernicla hrota,NA,NA,NA,NA,NA,NA,NA,Witbuikrotgans,NA,NA,NA
1690,Branta ruficollis,Red-breasted Goose,Red-breasted Goose,NA,Bernache à cou roux,NA,Barnacla cuelliroja,NA,Roodhalsgans,NA,rødhalsgås,NA
1710,Tadorna ferruginea,Ruddy Shelduck,Ruddy Shelduck,Ruddy Shelduck,Tadorne casarca,NA,Tarro canelo,NA,Casarca ,NA,rustand,NA
1730,Tadorna tadorna,Common Shelduck,Common Shelduck,Common Shelduck,Tadorne de Belon,NA,Tarro blanco,NA,Bergeend,NA,gravand,NA
1780,Aix galericulata,Mandarin Duck,Mandarin Duck,Mandarin Duck,Canard mandarin,NA,Pato mandarín,NA,Mandarijneend,NA,mandarinand,NA
1790,Mareca penelope,Eurasian Wigeon,Eurasian Wigeon,Eurasian Wigeon,Canard siffleur,NA,Silbón europeo,NA,Smient,NA,brunnakke,NA
1820,Mareca strepera,Gadwall,Gadwall,Gadwall,Canard chipeau,NA,Ánade friso,NA,Krakeend,NA,snadderand,NA
1840,Anas crecca,Eurasian Teal,Green-winged Teal,Eurasian/Green-winged Teal,Sarcelle d’hiver,NA,Cerceta común,NA,Wintertaling,NA,krikkand,NA
1860,Anas platyrhynchos,Mallard,Mallard,Mallard,Canard colvert,NA,Ánade azulón,NA,Wilde Eend,NA,stokkand,NA
1890,Anas acuta,Northern Pintail,Northern Pintail,Northern Pintail,Canard pilet,NA,Ánade rabudo norteño,Ánade Rabudo,Pijlstaart,NA,stjertand,NA
1910,Spatula querquedula,Garganey,Garganey,Garganey,Sarcelle d’été,NA,Cerceta carretona,NA,Zomertaling,NA,knekkand,NA
1940,Spatula clypeata,Northern Shoveler,Northern Shoveler,Northern Shoveler,Canard souchet,NA,Cuchara común,NA,Slobeend,NA,skjeand,NA
1960,Netta rufina,Red-crested Pochard,Red-crested Pochard,Red-crested Pochard,Nette rousse,NA,Pato colorado,NA,Krooneend,NA,rødhodeand,NA
1980,Aythya ferina,Common Pochard,Common Pochard,Common Pochard,Fuligule milouin,NA,Porrón europeo,NA,Tafeleend,NA,taffeland,NA
2020,Aythya nyroca,Ferruginous Duck,Ferruginous Duck,Ferruginous Duck,Fuligule nyroca,NA,Porrón pardo,NA,Witoogeend,NA,hvitøyeand,NA
2030,Aythya fuligula,Tufted Duck,Tufted Duck,Tufted Duck,Fuligule morillon,NA,Porrón moñudo,NA,Kuifeend,NA,toppand,NA
2040,Aythya marila,Greater Scaup,Greater Scaup,Greater Scaup,Fuligule milouinan,NA,Porrón bastardo,NA,Topper,NA,bergand,NA
2060,Somateria mollissima,Common Eider,Common Eider,Common Eider,Eider à duvet,NA,Éider común,NA,Eider,NA,ærfugl,NA
2070,Somateria spectabilis,King Eider,King Eider,King Eider,Eider à tête grise,NA,Éider real,NA,Koningseider ,NA,praktærfugl,NA
2090,Polysticta stelleri,Steller's Eider,Steller's Eider,NA,Eider de Steller,NA,Éider menor,NA,Stellers eider,NA,stellerand,NA
2110,Histrionicus histrionicus,Harlequin Duck,Harlequin Duck,Harlequin Duck,Arlequin plongeur,NA,Pato arlequín,NA,Harlekijneend ,NA,harlekinand,NA
2120,Clangula hyemalis,Long-tailed Duck,Long-tailed Duck,Long-tailed Duck,Harelde kakawi,NA,Pato havelda,NA,IJseend,NA,havelle,NA
2130,Melanitta nigra,Common Scoter,Common Scoter,Common Scoter,Macreuse noire,NA,Negrón común,NA,Zwarte Zee-eend,NA,svartand,NA
